sector,team
"Consumer and retail : Clothing, footwear and fashion : Men's footwear","Creative, consumer & sports sector team"
"Consumer and retail : Clothing, footwear and fashion : Sports and leisurewear","Creative, consumer & sports sector team"
"Consumer and retail : Clothing, footwear and fashion : Women's apparel","Creative, consumer & sports sector team"
"Consumer and retail : Clothing, footwear and fashion : Women's footwear","Creative, consumer & sports sector team"
Consumer and retail : Cosmetics and beauty,"Creative, consumer & sports sector team"
Consumer and retail : Electronic consumer products,"Creative, consumer & sports sector team"
Consumer and retail : Furniture and furnishings,"Creative, consumer & sports sector team"
Consumer and retail : Giftware,"Creative, consumer & sports sector team"
Consumer and retail : Household goods,"Creative, consumer & sports sector team"
Consumer and retail : Jewellery,"Creative, consumer & sports sector team"
Consumer and retail : Leisure and tourism,"Creative, consumer & sports sector team"
Consumer and retail : Leisure and tourism : Casual dining,"Creative, consumer & sports sector team"
Consumer and retail : Leisure and tourism : Hotels and hospitality,"Creative, consumer & sports sector team"
Consumer and retail : Leisure and tourism : Travel,"Creative, consumer & sports sector team"
Consumer and retail : Luxury,"Creative, consumer & sports sector team"
Consumer and retail : Supermarkets,"Creative, consumer & sports sector team"
Consumer and retail : Tableware,"Creative, consumer & sports sector team"
"Consumer and retail : Textiles, interior textiles and carpets","Creative, consumer & sports sector team"
Creative industries,"Creative, consumer & sports sector team"
Creative industries : Advertising,"Creative, consumer & sports sector team"
Creative industries : Animation,"Creative, consumer & sports sector team"
Creative industries : Antiques and antiquities,"Creative, consumer & sports sector team"
Creative industries : Art,"Creative, consumer & sports sector team"
"Creative industries : Books, printed media and stationery","Creative, consumer & sports sector team"
Creative industries : Design,"Creative, consumer & sports sector team"
Creative industries : Design : Industrial design,"Creative, consumer & sports sector team"
Creative industries : Design : Interior design,"Creative, consumer & sports sector team"
Creative industries : Digital media,"Creative, consumer & sports sector team"
Creative industries : Equipment,"Creative, consumer & sports sector team"
Creative industries : Equipment : Musical instruments,"Creative, consumer & sports sector team"
Creative industries : Equipment : Photo and cinema,"Creative, consumer & sports sector team"
Creative industries : Experience economy,"Creative, consumer & sports sector team"
Creative industries : Experience economy : Art,"Creative, consumer & sports sector team"
Creative industries : Experience economy : Attractions,"Creative, consumer & sports sector team"
Creative industries : Experience economy : Museums,"Creative, consumer & sports sector team"
Creative industries : Film and tv,"Creative, consumer & sports sector team"
Creative industries : Film and tv : Broadcasting,"Creative, consumer & sports sector team"
Creative industries : Film and tv : Post production,"Creative, consumer & sports sector team"
Creative industries : Film and tv : Production and finance,"Creative, consumer & sports sector team"
Creative industries : Film and tv : Sales and distribution,"Creative, consumer & sports sector team"
Creative industries : Games,"Creative, consumer & sports sector team"
Creative industries : Games : Development,"Creative, consumer & sports sector team"
Creative industries : Games : Esports,"Creative, consumer & sports sector team"
Creative industries : Games : Publishing,"Creative, consumer & sports sector team"
Creative industries : Immersive technology,"Creative, consumer & sports sector team"
Creative industries : Media services,"Creative, consumer & sports sector team"
Creative industries : Multimedia sales,"Creative, consumer & sports sector team"
Creative industries : Music,"Creative, consumer & sports sector team"
Creative industries : Music : Distribution,"Creative, consumer & sports sector team"
Creative industries : Music : Live performances,"Creative, consumer & sports sector team"
Creative industries : Music : Management,"Creative, consumer & sports sector team"
Creative industries : Music : Publishing,"Creative, consumer & sports sector team"
Creative industries : Music : Recorded music,"Creative, consumer & sports sector team"
Creative industries : Performing arts,"Creative, consumer & sports sector team"
Creative industries : Publishing,"Creative, consumer & sports sector team"
Defence,Defence & security sector team
Education and training,Education sector team
"Education and training : Curriculum, qualifications, assessment, inspection and quality assurance",Education sector team
Education and training : Early years,Education sector team
Education and training : Educational technology,Education sector team
Education and training : English language training,Education sector team
Education and training : Higher education,Education sector team
"Education and training : Higher education : Curriculum, qualifications, assessment, inspection and quality assurance",Education sector team
Education and training : Higher education : Professional,Education sector team
Education and training : Higher education : Teacher training,Education sector team
Education and training : Higher education : Universities,Education sector team
Education and training : Schools,Education sector team
Education and training : Special educational needs and disabilities,Education sector team
Education and training : Special educational needs and disabilities : Consultancy,Education sector team
"Education and training : Special educational needs and disabilities : Curriculum, qualifications, assessment, inspection and quality assurance",Education sector team
Education and training : Special educational needs and disabilities : Early years and schools,Education sector team
Education and training : Special educational needs and disabilities : Educational technology equipment and supplies,Education sector team
Education and training : Special educational needs and disabilities : Higher education and technical and vocational education and training,Education sector team
Education and training : Special educational needs and disabilities : Teacher training,Education sector team
Education and training : Support services,Education sector team
Education and training : Support services : Construction,Education sector team
Education and training : Support services : Consultancy and professional services,Education sector team
Education and training : Support services : Equipment and supplies,Education sector team
Education and training : Support services : Facilities management,Education sector team
Education and training : Technical and vocational education and training,Education sector team
Education and training : Technical and vocational education and training : Colleges and further education,Education sector team
Education and training : Technical and vocational education and training : Consultancy,Education sector team
"Education and training : Technical and vocational education and training : Curriculum, qualifications, assessment, inspection and quality assurance",Education sector team
Education and training : Technical and vocational education and training : Oil and gas and mining,Education sector team
Education and training : Technical and vocational education and training : Training,Education sector team
Energy,Energy sector team
Energy : Civil nuclear,Energy sector team
Energy : Civil nuclear decommissioning,Energy sector team
Energy : Oil and gas,Energy sector team
Energy : Renewable energy,Energy sector team
Energy : Renewable energy : Biomass,Energy sector team
Energy : Renewable energy : Electrical networks,Energy sector team
Energy : Renewable energy : Energy storage,Energy sector team
Energy : Renewable energy : Geothermal,Energy sector team
Energy : Renewable energy : Hydro,Energy sector team
Energy : Renewable energy : Hydrogen,Energy sector team
Energy : Renewable energy : Industrial decarbonisation,Energy sector team
Energy : Renewable energy : Marine and tidal,Energy sector team
Energy : Renewable energy : Offshore wind,Energy sector team
Energy : Renewable energy : Onshore wind,Energy sector team
Energy : Renewable energy : Solar,Energy sector team
Energy : Renewable energy : Waste to value,Energy sector team
Energy : Renewable energy : Wave,Energy sector team
Environment,Energy sector team
Environment : Air pollution and noise control,Energy sector team
Environment : Clean growth services,Energy sector team
Environment : Environmental monitoring,Energy sector team
Environment : Marine pollution control,Energy sector team
Environment : Sanitation and remediation,Energy sector team
Environment : Waste management and recycling,Energy sector team
Financial and professional services,Financial & professional services sector team
Financial and professional services : Accountancy services,Financial & professional services sector team
Financial and professional services : Accountancy services : Commercial accounting,Financial & professional services sector team
Financial and professional services : Accountancy services : Retail accounting,Financial & professional services sector team
Financial and professional services : Asset management,Financial & professional services sector team
Financial and professional services : Banking,Financial & professional services sector team
Financial and professional services : Banking : Commercial banking,Financial & professional services sector team
Financial and professional services : Banking : Investment banking,Financial & professional services sector team
Financial and professional services : Banking : Private banking,Financial & professional services sector team
Financial and professional services : Banking : Retail banking,Financial & professional services sector team
Financial and professional services : Business and consumer services,Financial & professional services sector team
Financial and professional services : Business and consumer services : Commercial real estate services,Financial & professional services sector team
Financial and professional services : Business and consumer services : Contact centres,Financial & professional services sector team
Financial and professional services : Business and consumer services : HR services,Financial & professional services sector team
Financial and professional services : Business and consumer services : Market research,Financial & professional services sector team
Financial and professional services : Business and consumer services : Marketing services,Financial & professional services sector team
Financial and professional services : Business and consumer services : Shared service centres,Financial & professional services sector team
Financial and professional services : Capital markets,Financial & professional services sector team
Financial and professional services : Capital markets : Hedge funds,Financial & professional services sector team
Financial and professional services : Capital markets : Private equity,Financial & professional services sector team
Financial and professional services : Capital markets : Venture capital,Financial & professional services sector team
Financial and professional services : Financial technology,Financial & professional services sector team
Financial and professional services : Foreign exchange,Financial & professional services sector team
Financial and professional services : Insurance,Financial & professional services sector team
Financial and professional services : Insurance : Commercial insurance,Financial & professional services sector team
Financial and professional services : Insurance : Home insurance,Financial & professional services sector team
Financial and professional services : Insurance : Life insurance,Financial & professional services sector team
Financial and professional services : Insurance : Motor insurance,Financial & professional services sector team
Financial and professional services : Insurance : Travel insurance,Financial & professional services sector team
Financial and professional services : Legal services,Financial & professional services sector team
Financial and professional services : Legal services : Commercial legal services,Financial & professional services sector team
Financial and professional services : Legal services : Retail legal services,Financial & professional services sector team
Financial and professional services : Listings,Financial & professional services sector team
Financial and professional services : Management consultancy,Financial & professional services sector team
Food and drink,Food & drink sector team
Food and drink : Alcoholic drinks,Food & drink sector team
Food and drink : Bakery products,Food & drink sector team
Food and drink : Brewing,Food & drink sector team
Food and drink : Dairy products,Food & drink sector team
Food and drink : Food and drink manufacturing,Food & drink sector team
Food and drink : Free from,Food & drink sector team
Food and drink : Frozen and chilled foods,Food & drink sector team
Food and drink : Fruit and vegetables,Food & drink sector team
Food and drink : Meat products,Food & drink sector team
Food and drink : Non-alcoholic drinks,Food & drink sector team
Food and drink : Organic,Food & drink sector team
Food and drink : Pet food,Food & drink sector team
Food and drink : Ready meals,Food & drink sector team
Food and drink : Secondary food processing,Food & drink sector team
Healthcare services,Healthcare sector team
Healthcare services : Digital and data,Healthcare sector team
Healthcare services : Education and training,Healthcare sector team
Healthcare services : Health systems management,Healthcare sector team
Healthcare services : Infrastructure,Healthcare sector team
Healthcare services : Lab services,Healthcare sector team
Healthcare services : Social care,Healthcare sector team
Maritime,Advanced manufacturing sector team
Maritime : Marine engineering,Advanced manufacturing sector team
Maritime : Marine engineering : Autonomous vessels and systems,Advanced manufacturing sector team
Maritime : Marine engineering : Composites and other specialist technical areas,Advanced manufacturing sector team
Maritime : Marine engineering : Construction and manufacture,Advanced manufacturing sector team
Maritime : Marine engineering : Digital shipping,Advanced manufacturing sector team
Maritime : Marine engineering : Engineering and interior design,Advanced manufacturing sector team
Maritime : Marine engineering : Engineering consultancy,Advanced manufacturing sector team
Maritime : Marine engineering : Fit out and refits,Advanced manufacturing sector team
Maritime : Marine engineering : Green marine,Advanced manufacturing sector team
Maritime : Marine engineering : Leisure marine,Advanced manufacturing sector team
Maritime : Marine engineering : Marine science,Advanced manufacturing sector team
Maritime : Marine engineering : Maritime equipment and systems,Advanced manufacturing sector team
Maritime : Marine engineering : Ports and terminals,Advanced manufacturing sector team
Maritime : Marine engineering : Project management,Advanced manufacturing sector team
Maritime : Marine engineering : Research and development,Advanced manufacturing sector team
Maritime : Maritime services,Advanced manufacturing sector team
Maritime : Maritime services : Accounting and financial services,Advanced manufacturing sector team
Maritime : Maritime services : Classification,Advanced manufacturing sector team
Maritime : Maritime services : Consultancy,Advanced manufacturing sector team
Maritime : Maritime services : Human resource management,Advanced manufacturing sector team
Maritime : Maritime services : Marine insurance,Advanced manufacturing sector team
Maritime : Maritime services : Maritime charities,Advanced manufacturing sector team
Maritime : Maritime services : Maritime law and arbitration,Advanced manufacturing sector team
Maritime : Maritime services : Media and PR,Advanced manufacturing sector team
Maritime : Maritime services : Ship finance,Advanced manufacturing sector team
Maritime : Maritime services : Ship management,Advanced manufacturing sector team
Maritime : Maritime services : Shipbroking,Advanced manufacturing sector team
Maritime : Maritime services : Training and education,Advanced manufacturing sector team
Medical devices and equipment,Life sciences sector team
Medical devices and equipment : Consumables and equipment,Life sciences sector team
Medical devices and equipment : Digital and data,Life sciences sector team
Medical devices and equipment : Implantable devices,Life sciences sector team
Medical devices and equipment : In vitro diagnostic devices,Life sciences sector team
Mining,Infrastructure sector team
Pharmaceuticals and biotechnology,Life sciences sector team
Pharmaceuticals and biotechnology : Digital and data,Life sciences sector team
Pharmaceuticals and biotechnology : Manufacturing,Life sciences sector team
Pharmaceuticals and biotechnology : Marketing and sales,Life sciences sector team
Pharmaceuticals and biotechnology : Professional services,Life sciences sector team
Pharmaceuticals and biotechnology : Research and development,Life sciences sector team
Railways,Infrastructure sector team
Security,Defence & security sector team
Security : Cyber security,Defence & security sector team
Space,Aerospace sector team
Space : Component manufacturing,Aerospace sector team
Space : Component manufacturing : Communications,Aerospace sector team
Space : Component manufacturing : Electronics,Aerospace sector team
Space : Component manufacturing : Optics,Aerospace sector team
Space : Component manufacturing : Propulsion,Aerospace sector team
Space : Component manufacturing : Robotics,Aerospace sector team
Space : Component manufacturing : Satellite bus,Aerospace sector team
Space : Component manufacturing : Space technology,Aerospace sector team
Space : Services,Aerospace sector team
Space : Services : Artificial intelligence and data,Aerospace sector team
Space : Services : Communications,Aerospace sector team
Space : Services : Earth observation,Aerospace sector team
Space : Services : Ground based,Aerospace sector team
Space : Services : Launch,Aerospace sector team
Space : Services : Satellite operation,Aerospace sector team
Sports economy,"Creative, consumer & sports sector team"
Sports economy : Major sports events,"Creative, consumer & sports sector team"
Sports economy : Sports development and policy,"Creative, consumer & sports sector team"
Sports economy : Sports infrastructure,"Creative, consumer & sports sector team"
Sports economy : Sports infrastructure : Sports architecture,"Creative, consumer & sports sector team"
Sports economy : Sports infrastructure : Sports construction,"Creative, consumer & sports sector team"
Sports economy : Sports infrastructure : Stadia fit out,"Creative, consumer & sports sector team"
Technology and smart cities,Technology sector team
Technology and smart cities : Communications,Technology sector team
Technology and smart cities : Communications : Convergent,Technology sector team
Technology and smart cities : Communications : Fixed line,Technology sector team
Technology and smart cities : Communications : Internet service providers,Technology sector team
Technology and smart cities : Communications : Mobile,Technology sector team
Technology and smart cities : Communications : Wireless,Technology sector team
Technology and smart cities : Communications : Wireless internet of things,Technology sector team
Technology and smart cities : Hardware,Technology sector team
Technology and smart cities : Hardware : 5G,Technology sector team
Technology and smart cities : Hardware : Data centres,Technology sector team
Technology and smart cities : Hardware : Internet of things,Technology sector team
Technology and smart cities : Hardware : Photonics,Technology sector team
Technology and smart cities : Hardware : Semiconductors,Technology sector team
Technology and smart cities : Hardware : Sensors,Technology sector team
Technology and smart cities : Hardware : Telecommunications and electronics systems,Technology sector team
Technology and smart cities : Software,Technology sector team
Technology and smart cities : Software : 5G,Technology sector team
Technology and smart cities : Software : Artificial intelligence,Technology sector team
Technology and smart cities : Software : Blockchain,Technology sector team
Technology and smart cities : Software : Cloud services,Technology sector team
Technology and smart cities : Software : Data analytics,Technology sector team
Technology and smart cities : Software : Internet of things,Technology sector team
Technology and smart cities : Software : Sensors,Technology sector team
Technology and smart cities : Software : Software as a service,Technology sector team
Water,Infrastructure sector team
Water : Flood resilience,Infrastructure sector team
Water : Wastewater management,Infrastructure sector team
Water : Water management,Infrastructure sector team
